vertex	2	 0 7
vertex	5	 0 7
vertex	10	 26
vertex	11	 22 31
vertex	13	 31
vertex	14	 20 25 28 41
vertex	15	 31 33
vertex	16	 1 4 28 37
vertex	17	 1 4 38 44
vertex	19	 26 31 34
vertex	20	 0 7 35 41
vertex	22	 20 25
vertex	23	 15 19 20 23 25 26 31 32 38 39 42
vertex	24	 6 44
vertex	25	 2 7 32 36
vertex	26	 3 32 36 45
vertex	27	 35 39
vertex	28	 2 15 19 20 23 25 26 31 32 38 45
vertex	29	 13 20 25 37
vertex	30	 11 17 42 45
vertex	31	 35 41
vertex	32	 4 26 28 31 32 34
vertex	33	 10 16 26
vertex	34	 13 25 35 38 44
vertex	35	 28 32 37
vertex	36	 27 31 33
vertex	37	 24 41
sector	0 10	50 63 74 88 96 87 73 62 49	-1 -1 29 -1 -1 -1 1 -1 2 	-1	8 7 9 1	0	
sector	0 10	73 87 91 80	-1 0 -1 14 	10	8 7 1 1	0	
sector	0 10	38 46 49 62 61 37	-1 3 -1 0 -1 10 	10	8 7 1 1	0	
sector	0 10	27 20 11 21 28 39 47 46 38	-1 5 -1 -1 -1 -1 -1 -1 2 	-1	8 7 9 1	1	5 6144 40976 40252 21487 22211 0 
sector	0 17	2 3 15 14	-1 44 -1 -1 	-1	7 7 6 1	0	
sector	0 10	27 24 17 20	3 -1 6 -1 	10	8 7 1 1	0	
sector	2 12	24 23 13 17	5 -1 7 -1 	-1	8 7 1 1	0	
sector	4 14	23 12 13	6 8 -1 	-1	8 7 1 1	0	
sector	6 21	23 16 12	7 9 23 	-1	8 7 1 1	0	
sector	8 18	23 22 16	8 15 -1 	-1	8 7 1 1	0	
sector	0 10	61 58 34 37	2 -1 -1 -1 	-1	8 7 9 1	0	
sector	8 18	76 78 89	-1 15 12 	-1	8 7 1 1	0	
sector	6 16	89 78 93	-1 11 13 	-1	8 7 1 1	0	
sector	4 14	78 94 93	12 14 -1 	-1	8 7 1 1	0	
sector	2 14	80 91 94 78	-1 1 -1 13 	-1	8 7 1 1	0	
sector	10 20	23 78 76 60 36 22	9 -1 11 -1 16 -1 	-1	1 1 1 1	0	
sector	10 12	60 59 35 36	15 -1 17 -1 	-1	1 1 1 1	0	
sector	10 20	59 57 33 35	16 19 20 18 	-1	1 1 1 1	0	
sector	10 12	33 29 30 35	17 -1 21 -1 	-1	1 1 1 1	0	
sector	10 12	67 66 57 59	-1 -1 -1 17 	-1	1 1 1 1	0	
sector	10 12	57 56 32 33	17 -1 24 -1 	-1	1 1 1 1	0	
sector	10 20	29 8 9 30	18 -5 22 -5 	-1	4 5 4 5	0	
sector	12 23	5 4 6 7 10 9 8	-4 -4 -4 -4 23 -5 21 	-1	4 5 1 5	1	1 18432 24489 23495 10773 11022 0 
sector	15 22	7 12 16 10	22 -5 8 -5 	-1	1 5 1 5	0	
sector	0 12	56 70 55 31 32	20 28 25 -1 -1 	-1	8 1 1 1	0	
sector	0 8	70 82 84 81 69 65 55	24 -1 -1 -1 26 -1 -1 	-1	8 5 1 1	0	
sector	0 8	75 54 48 45 69 81	-1 -1 -1 27 -1 25 	-1	8 5 6 1	0	
sector	0 12	44 42 45 48	-1 41 -1 26 	12	7 7 1 1	0	
sector	2 12	56 85 92 95 70	24 -1 37 -1 -1 	-1	8 5 1 1	0	
sector	0 12	53 71 74 63	-1 30 -1 0 	-1	8 1 1 1	0	
sector	6 14	53 72 71	29 31 -1 	-1	8 1 1 1	0	
sector	6 16	64 72 53	32 -1 30 	-1	8 5 1 1	0	
sector	8 18	51 64 53	33 -1 31 	-1	8 5 1 1	0	
sector	10 20	43 51 53	34 -1 32 	-1	8 5 1 1	0	
sector	10 20	41 43 53	35 -1 33 	-1	8 5 1 1	0	
sector	12 22	53 40 41	34 36 -1 	-1	8 5 1 1	0	
sector	12 24	53 68 52 40	35 -1 40 -1 	-1	8 5 1 1	1	3 18432 36941 36217 26546 27270 0 
sector	4 14	83 89 92 85	-1 38 -1 28 	-1	8 5 1 1	0	
sector	6 17	77 90 89 83	-1 39 -1 37 	-1	8 5 1 1	0	
sector	8 20	79 86 90 77	-1 40 -1 38 	-1	8 5 1 1	0	
sector	10 22	52 68 86 79	-1 36 -1 39 	-1	8 5 1 1	0	
sector	0 18	25 26 42 44	-1 42 -1 27 	-1	7 7 6 1	0	
sector	0 13	18 19 26 25	-1 43 -1 41 	-1	7 7 6 1	0	
sector	0 22	14 15 19 18	-1 44 -1 42 	22	7 7 1 1	0	
sector	0 10	0 1 3 2	-1 -1 -1 4 	-1	1 1 1 1	0	
final sector	44
player	24 25 0 10 2 20 1 50
