vertex	0	 6 16 29 46
vertex	7	 28 34 56
vertex	9	 16 29 46 51 64
vertex	12	 32 34 46 49
vertex	13	 25 37 39 41 42 46 51 57 58 64
vertex	14	 33 35 36 37 39 41 42 43 45 47 49
vertex	15	 32 34 58 64
vertex	16	 3 12 20 31
vertex	17	 32 34 58 64
vertex	18	 33 35 36 37 39 41 42 43 45 47 49
vertex	19	 37 39 41 42 46 51 57 58 64
vertex	20	 32 34 46 49
vertex	21	 58 64
vertex	22	 12 20
vertex	23	 4 16 29 46 58 64
vertex	25	 28 34 56 58 64
vertex	26	 0 4 16 20 27
vertex	29	 29 34 37 46
vertex	32	 34 37 40 41 56 64
vertex	34	 12 20 31
vertex	35	 0 20 34 37
vertex	36	 45 56
vertex	37	 34 37
vertex	39	 34 37 40
vertex	41	 34 37 40
vertex	42	 0 8 27
vertex	43	 34 37 40 45 56
vertex	46	 0 3 8 20 31 34 40
vertex	47	 40 64
vertex	50	 0 8 12 16 20
vertex	56	 0 8 12 16 20 31
sector	0 20	8 26 49 79	-3 1 11 22 	-1	1 1 1 1	0
sector	0 20	29 27 26 8 17	-1 12 11 0 21 	-1	1 1 1 1	0
sector	0 20	61 62 63 64 80 79 60	-1 20 -1 3 -3 25 22 	20	1 1 1 1	0
sector	0 14	20 21 64 63 55 32	-1 21 36 2 -1 4 	-1	1 1 1 1	0
sector	0 12	28 32 55 51	-1 -3 3 -3 	-1	1 1 1 1	0
sector	16 28	36 15 6 85 72 59	18 -2 7 -2 6 -2 	-1	1 1 1 1	0
sector	16 28	85 84 70 71 72	5 35 8 10 -2 	-1	1 1 1 1	0
sector	16 28	5 6 15 14 13	23 -2 5 -2 10 	-1	1 1 1 1	0
sector	16 36	70 84 83 69	-2 6 -2 24 	-1	1 1 1 1	0
sector	16 36	37 38 46 45	24 -2 10 -2 	-1	1 1 1 1	0
sector	16 26	13 14 71 70 46 38	-2 7 -2 6 -2 9 	-1	1 1 1 1	0
sector	2 20	26 27 50 49	0 1 12 22 	-1	1 1 1 1	0
sector	4 20	27 29 52 50	11 1 13 22 	-1	1 1 1 1	0
sector	6 20	29 30 53 52	12 -1 14 -1 	-1	1 1 1 1	0
sector	8 20	30 31 54 53	13 19 15 20 	-1	1 1 1 1	0
sector	10 24	31 33 56 54	14 -1 16 -1 	-1	1 1 1 1	0
sector	12 24	33 34 57 56	15 -1 17 -1 	-1	1 1 1 1	0
sector	14 28	34 35 58 57	16 -1 18 -1 	-1	1 1 1 1	0
sector	16 28	35 36 59 58	17 -1 5 -1 	-1	1 1 1 1	0
sector	8 14	18 19 31 30	-1 21 -1 14 	-1	1 1 1 1	0
sector	8 14	53 54 62 61	-1 14 -1 2 	-1	1 1 1 1	0
sector	0 20	9 21 20 19 18 17 8	52 -3 3 -1 19 -1 1 	0	1 1 1 1	0
sector	0 20	49 50 52 60 79	0 11 12 -1 2 	-1	1 1 1 1	0
sector	16 36	5 13 12 4	-2 7 -2 24 	-1	1 1 1 1	0
sector	16 36	4 12 37 45 69 83	-2 23 -2 9 -2 8 	-1	1 1 1 1	0
sector	0 16	80 96 95 94 93 79	2 -3 -3 26 -3 -3 	-1	1 1 1 1	0
sector	0 16	109 108 94 95	-1 27 -1 25 	-1	1 1 1 1	0
sector	2 16	113 112 108 109	-1 28 -1 26 	-1	1 1 1 1	0
sector	4 18	113 115 114 112	27 -1 29 -1 	-1	1 1 1 1	0
sector	6 20	115 118 117 114	28 33 30 -1 	-1	1 1 1 1	0
sector	8 22	118 124 123 117	29 32 31 -1 	-1	1 1 1 1	0
sector	10 24	124 125 134 133 123	30 32 -1 -1 -1 	-1	1 1 1 1	0
sector	12 26	118 119 125 124	30 33 -1 31 	-1	1 1 1 1	0
sector	14 28	115 116 119 118	29 34 -1 32 	-1	1 1 1 1	0
sector	16 30	98 100 116 115	-2 35 -1 33 	-1	1 1 1 1	0
sector	16 30	97 84 85 101 100 98	-2 -2 6 50 -2 34 	-1	1 1 1 1	0
sector	0 10	22 65 64 21	-1 38 -1 3 	-1	1 1 1 1	0
sector	0 10	10 23 22	-1 39 38 	-1	1 1 1 1	0
sector	0 10	23 66 65 22	37 -1 -1 36 	0	1 1 1 1	0
sector	0 16	11 25 24 23 10	-1 -1 40 -1 37 	-1	1 1 1 1	0
sector	2 16	25 40 39 24	39 -1 41 -1 	-1	1 1 1 1	0
sector	4 16	40 48 47 39	40 -1 42 -1 	-1	1 1 1 1	0
sector	6 16	48 68 67 47	41 -1 43 -1 	-1	1 1 1 1	0
sector	6 16	68 74 73 67	42 -1 51 -1 	-1	1 1 1 1	0
sector	12 35	110 126 135 99	47 46 49 -1 	-1	1 1 1 1	0
sector	10 20	82 87 86 81	51 -1 50 -1 	-1	1 1 1 1	0
sector	12 22	111 127 126 110	47 48 49 44 	-1	1 1 1 1	0
sector	12 35	101 102 111 110 99	-1 50 48 46 44 	-1	1 1 1 1	0
sector	12 35	136 127 111 102	-1 49 46 47 	-1	1 1 1 1	0
sector	12 35	136 135 126 127	48 -1 44 46 	-1	1 1 1 1	0
sector	12 22	86 87 102 101 85	-1 45 -1 47 35 	-1	1 1 1 1	0
sector	8 18	73 74 82 81	-1 43 -1 45 	-1	1 1 1 1	0
sector	0 10	2 3 9 8	53 -1 -1 21 	-1	3 1 1 1	0
sector	2 7	8 7 1 2	52 -1 54 -1 	5	1 1 1 1	0
sector	0 10	1 7 78 77 0	-1 53 57 55 -1 	-1	0 1 1 1	0
sector	0 10	77 78 90 89	-1 54 -1 56 	-1	1 1 1 1	0
sector	0 14	89 90 91 107 106 88	-1 55 -1 -1 59 -1 	14	1 1 1 1	0
sector	0 10	16 78 7	-1 -1 54 	-1	1 1 1 1	2	0 6144 22608 23543 11982 12398 1 1 6144 22988 22302 16214 16975 4
sector	0 10	92 122 107 91	-1 -1 59 -1 	-1	1 1 1 1	0
sector	0 10	107 122 121 120 106	56 58 -1 60 -1 	-1	1 1 1 1	1	4 6144 0 0 40022 41046 0
sector	3 17	121 130 128 120	59 -1 61 -1 	-1	1 1 1 1	0
sector	6 20	130 138 137 128	60 -1 62 -1 	-1	1 1 1 1	0
sector	9 20	138 143 142 137	61 63 -1 -1 	-1	1 1 1 1	0
sector	12 30	139 144 143 138	-1 64 -1 62 	-1	1 1 1 1	0
sector	15 30	140 145 144 139	-1 65 -1 63 	-1	1 1 1 1	0
sector	18 30	140 141 146 145	64 -1 66 -1 	-1	1 1 1 1	0
sector	20 30	141 131 132 147 146	65 -1 68 -1 -1 	-1	1 1 1 1	0
sector	21 35	129 103 104 131	-1 70 69 68 	-1	1 1 1 1	0
sector	21 35	104 105 132 131	67 72 -1 66 	-1	1 1 1 1	0
sector	26 35	75 76 104 103	70 71 72 67 	-1	1 1 1 1	0
sector	21 35	41 75 103 129	-1 71 69 67 	-1	1 1 1 1	0
sector	21 35	42 43 44 76 75 41	-1 -1 -1 72 69 70 	-1	1 1 1 1	0
sector	21 35	44 105 104 76	71 -1 68 69 	-1	1 1 1 1	0
final sector	0
player	9 5 0 54 9 50 5 50
