vertex	0	 90 107
vertex	7	 90 101 102 107
vertex	13	 79 84 90 96 97 101 102
vertex	15	 54 56 67 97 101
vertex	16	 38 41 45
vertex	17	 54 56 65 67 97 101
vertex	18	 41 43 45
vertex	19	 41 43 79 97 101
vertex	20	 14 16 18 20
vertex	21	 10 23 41 43 45 75 97 101
vertex	22	 26 83 90
vertex	23	 11 14 16 18 20 22 24 29 41 43 45 54 56 61 63 65 67 97 101
vertex	24	 7 14 21 26
vertex	25	 9 28 31 41 43 45 97 101
vertex	26	 5 11 25 77 81
vertex	27	 7 15 20 30 33 41 42 43 45 54 97 101
vertex	28	 3 13 22 41 42 43
vertex	29	 5 16 19 31 34 97 101
vertex	30	 7 14 21 29
vertex	31	 2 4 32 35 97 101
vertex	32	 9 26 41 44 45 54
vertex	33	 11 16 19 24 30 33 36 41 44 97 101
vertex	34	 0 2 4 5 8 27 44 90 96 102 107
vertex	35	 10 14 21 25 31 34 36 37 38 41 44 45
vertex	36	 31 34 54 56 61 63 65 67
vertex	37	 0 31 34 41 42 45
vertex	38	 0 4 5 10 14 21 25 31 34 36 37 38
vertex	39	 5 8 27 41 42 45
vertex	40	 11 16 19 24 30
vertex	41	 9 26
vertex	42	 41 43 54 56 65 67 76 90 107
vertex	43	 7 14 21 28
vertex	44	 16 19 38 41 43 45 54 67 76 81
vertex	45	 13 22 81
vertex	46	 15 20
vertex	47	 11 24
vertex	49	 14 21
vertex	50	 16 19 75
vertex	51	 81
sector	0 50	128 129 151 180 195 194 179 150	1 7 8 6 3 5 4 2 	-1	5 8 1 1	0	
sector	0 47	127 112 128 150	2 32 7 0 	-1	6 5 1 1	0	
sector	0 47	150 179 193 178 149 127	1 0 4 -8 19 -8 	-1	6 5 1 8	0	
sector	0 47	196 211 195 180	6 16 5 0 	-1	6 5 1 1	0	
sector	0 47	210 193 179 194	5 12 2 0 	-1	6 5 1 1	0	
sector	0 47	194 195 211 214 213 210	4 0 3 -8 15 -8 	-1	6 5 1 1	0	
sector	0 47	151 130 152 181 196 180	0 8 -8 24 -8 3 	-1	6 5 1 1	0	
sector	0 47	112 105 106 113 129 128	1 -8 10 -8 8 0 	-1	6 5 1 1	0	
sector	0 47	113 130 151 129	7 20 6 0 	-1	6 5 1 1	0	
sector	32 47	176 175 169	34 -7 -7 	-1	6 5 1 1	0	
sector	0 15	105 87 70 71 88 106	7 -5 33 -1 18 -5 	-1	6 5 1 1	0	
sector	0 15	141 111 121 142	50 -1 32 -5 	-1	6 5 1 1	0	
sector	0 15	193 210 223 228 209 198	-5 4 -5 14 -1 13 	-1	6 5 1 1	0	
sector	0 15	187 188 198 209	-1 50 -5 12 	-1	6 5 1 1	0	
sector	0 15	223 226 230 228	12 -5 15 -1 	-1	6 5 1 1	0	
sector	0 15	226 213 214 227 231 233 232 230	14 -5 5 -5 17 -1 -1 -1 	-1	6 5 1 1	0	
sector	0 15	196 199 212 229 224 211	3 -5 23 -1 17 -5 	-1	6 5 1 1	0	
sector	0 15	224 229 231 227	-5 16 -1 15 	-1	6 5 1 1	0	
sector	0 15	71 83 100 88	10 -1 20 -5 	-1	6 5 1 1	0	
sector	32 47	142 149 178 188 187 177 141	-7 -7 2 -7 -7 -7 36 	-1	6 5 1 1	0	
sector	0 15	113 100 83 114 122 130	8 -5 18 -1 21 -5 	-1	6 5 1 1	0	
sector	0 15	122 114 131 143	-5 20 -1 24 	-1	6 5 1 1	0	
sector	32 47	116 140 139 115	35 -7 34 -7 	-1	6 5 1 1	0	
sector	0 15	189 197 212 199	-5 24 -1 16 	-1	6 5 1 1	0	
sector	0 15	143 131 153 161 170 182 197 189 181 152	-5 21 -1 27 25 26 -1 23 -5 6 	-1	6 5 1 5	0	
sector	0 15	162 171 170 161	27 28 26 24 	-1	6 5 1 5	0	
sector	0 14	170 171 183 182	24 25 28 -7 	-1	6 5 1 1	0	
sector	0 14	153 154 162 161	24 -7 28 25 	-1	6 5 1 1	0	
sector	0 15	171 162 154 155 184 183	26 25 27 29 51 -7 	-1	6 5 5 5	0	
sector	0 15	132 133 155 154	-7 30 -7 28 	-1	5 5 1 5	0	
sector	2 17	117 118 133 132	-7 31 -7 29 	-1	6 5 1 5	0	
sector	4 19	108 118 117 107	40 -7 30 -7 	-1	6 5 1 5	0	
sector	0 15	127 121 111 82 99 112	1 -5 11 -1 33 -5 	-1	6 5 2 1	0	
sector	0 15	82 70 87 99	32 -1 10 -5 	-1	6 5 1 1	0	
sector	32 47	176 169 138 139 140	36 9 -7 -7 22 	-1	6 5 2 7	0	
sector	32 47	104 116 115 98	37 -7 22 -7 	-1	6 5 1 5	0	
sector	32 47	140 141 177 176	34 -7 19 -7 	-1	6 5 1 1	0	
sector	30 45	86 104 98 81	38 -7 35 -7 	-1	6 5 1 5	0	
sector	28 43	73 86 81 69	39 -7 37 -7 	-1	6 5 1 5	0	
sector	26 41	50 73 69 39	49 -7 38 -7 	-1	6 5 1 5	0	
sector	6 21	89 90 108 107	-7 41 -7 31 	-1	6 5 1 5	0	
sector	8 23	74 75 90 89	-7 42 -7 40 	-1	6 5 1 5	0	
sector	10 25	72 57 75 74	-7 43 -7 41 	-1	6 5 1 5	0	
sector	12 27	72 56 47 57	42 -7 44 -7 	-1	6 5 1 5	0	
sector	14 29	55 40 47 56	-7 45 -7 43 	-1	6 5 1 5	0	
sector	16 31	55 54 38 40	44 -7 46 -7 	-1	6 5 1 5	0	
sector	18 33	54 53 37 38	45 -7 47 -7 	-1	6 5 1 5	0	
sector	20 35	53 52 36 37	46 -7 48 -7 	-1	6 5 1 5	0	
sector	22 37	52 51 35 36	47 -7 49 -7 	-1	6 5 1 5	0	
sector	24 39	51 50 39 35	48 -7 39 -7 	-1	6 5 1 5	0	
sector	0 15	142 188 187 141	11 -5 13 -1 	-1	6 5 1 1	0	
sector	0 15	156 185 184 155	-1 52 -1 28 	0	6 1 1 9	0	
sector	0 15	157 186 185 156	-1 53 -1 51 	-1	6 1 1 9	0	
sector	0 20	157 18 19 27 30 41 58 76 91 101 123 134 158 172 190 200 216 215 186	52 -1 -1 54 -5 70 -5 61 -5 56 96 96 96 72 -5 66 59 -1 -1 	-1	6 7 1 9	0	
sector	0 18	20 29 28 27 19	-5 -5 67 -5 53 	-1	6 7 1 9	0	
sector	0 10	146 147 208 207	60 -1 63 -1 	-1	1 1 1 1	0	
sector	0 18	92 102 101 91	-5 62 96 53 	-1	6 7 1 1	0	
sector	0 10	5 12 11 10 9 2	-1 63 -1 71 -1 60 	-1	1 1 1 1	0	
sector	0 17	59 60 78 77	61 69 -5 68 	-1	6 7 1 9	0	
sector	0 18	201 217 216 200	66 74 -5 53 	-1	6 7 1 9	0	
sector	0 10	49 8 2 9 146 207	-1 95 -1 57 -1 55 	-1	1 1 1 1	0	
sector	0 15	59 77 76 58	-5 58 -5 53 	-1	6 7 1 1	0	
sector	0 15	93 103 102 92	-5 76 96 56 	-1	6 7 1 1	0	
sector	0 10	5 208 147 12	57 -1 55 -1 	-1	1 1 1 1	0	
sector	0 15	144 135 124 125 160 159	96 96 96 76 -5 75 	-1	6 7 1 9	0	
sector	0 15	174 192 191 173	75 -5 73 -5 	-1	6 7 1 9	0	
sector	0 15	190 191 201 200	53 -5 73 59 	-1	6 7 1 1	0	
sector	0 17	42 31 28 29 43	69 70 -5 54 -5 	-1	6 7 1 9	0	
